Frame,Sub Frame,RF,BF,MG,LG,AT
19,1,-0.0195694,0.00476837,0.0491333,0.0557327,0.0618744
19,2,-0.00747681,0.0038147,0.0528717,0.0563812,0.0574493
19,3,-0.00125885,0.00293732,0.0537491,0.0532532,0.0608826
19,4,0.00679016,0.00202179,0.0542068,0.0542831,0.0582123
20,0,0.00957489,0.00339508,0.0518799,0.0568008,0.0567627
20,1,0.0162506,0.00343323,0.0466537,0.0556564,0.0576019
20,2,0.0214386,-0.00164032,0.0511169,0.055275,0.0543213
20,3,0.0269318,-0.0018692,0.0481033,0.0554657,0.0550079
20,4,0.026207,0.00171661,0.042038,0.0528336,0.0513458
21,0,0.028801,-0.000114441,0.0413513,0.054245,0.0583649
21,1,0.030632,-0.00217438,0.0405884,0.0514221,0.0514221
21,2,0.0328445,-0.00244141,0.0381088,0.0509644,0.0544357
21,3,0.0297165,-0.00400543,0.0413513,0.0497055,0.0634003
21,4,0.0237656,-0.00289917,0.0441742,0.0533295,0.0802994
22,0,0.0209808,-0.00232697,0.0468445,0.0535965,0.12207
22,1,0.0170898,-0.000152588,0.0442123,0.0548553,0.12104
22,2,0.0100708,0.000724792,0.046463,0.0562286,0.091629
22,3,0.00907898,-0.00312805,0.0452423,0.0534058,0.0584793
22,4,0.000572205,-0.0038147,0.0505066,0.0516129,0.0210571
23,0,-0.00102997,-0.00747681,0.0506592,0.0500488,0.0280762
23,1,-0.0056839,-0.0094986,0.0521469,0.0491714,0.0174332
23,2,-0.00408173,-0.00789642,0.055809,0.0535202,-0.0238037
23,3,-0.000839233,0,0.0621414,0.0537872,-0.0337219
23,4,-0.00305176,0.000991821,0.0626755,0.0580978,-0.0362015
24,0,-0.00598907,0.00301361,0.0596237,0.0574493,-0.0215912
24,1,-0.00614166,0.00247955,0.060463,0.0553894,0.00545502
24,2,-0.00476837,0.000801086,0.0623703,0.0582123,0.0416946
24,3,-0.00274658,0.000762939,0.0619125,0.0587463,0.0701904
24,4,-0.00564575,0.000190735,0.0607681,0.054245,0.0982285
25,0,-0.00743866,0.00167847,0.057869,0.051651,0.122643
25,1,-0.00362396,0.0030899,0.0528717,0.0488281,0.108528
25,2,-0.000686646,0.00297546,0.0499725,0.0496674,0.107841
25,3,-0.00629425,0.000343323,0.0489426,0.0477982,0.123253
25,4,-0.00301361,0.00175476,0.0466919,0.0520706,0.128326
26,0,-0.00846863,0.00118256,0.0687408,0.055275,0.104713
26,1,-0.0147629,0.00190735,0.136795,0.051651,0.0753784
26,2,-0.0256348,0.00312805,0.15419,0.0492859,0.0434875
26,3,-0.0287628,0.00209808,0.138702,0.0513458,0.0867844
26,4,-0.0304413,0.00324249,0.110741,0.0531387,0.13298
27,0,-0.0220871,0.00801086,0.0811386,0.0557327,0.111046
27,1,-0.0167084,0.00572205,0.0506592,0.0562286,0.054245
27,2,-0.00400543,-0.00125885,0.0240707,0.0559235,-0.0336838
27,3,0.00263214,-0.00190735,-0.00389099,0.0568771,-0.101662
27,4,0.00484467,-0.00156403,-0.0268173,0.0578308,-0.0314331
28,0,0.00682831,-0.00343323,-0.0435638,0.0601196,0.0106049
28,1,0.0149918,-0.00595093,-0.0479126,0.0577545,0.0391006
28,2,0.022583,-0.00587463,-0.0533676,0.0590515,0.025444
28,3,0.0268936,-0.00488281,-0.0499344,0.056572,0.022583
28,4,0.0330734,-0.00610352,-0.0473404,0.0531006,0.10376
29,0,0.0253677,-0.00671387,-0.0474548,0.0532913,0.115814
29,1,0.0236511,-0.00953674,-0.0389099,0.0486755,0.0935364
29,2,0.0212479,-0.00476837,-0.0301743,0.0491333,0.0558472
29,3,0.0225067,-0.00305176,-0.0138474,0.0486374,0.0350189
29,4,0.0218582,-0.00392914,-0.000648499,0.0497437,0.0483704
30,0,0.0146484,-0.00209808,0.0126648,0.0537109,0.0600815
30,1,0.00873566,0.00232697,0.026474,0.0533676,0.0682449
30,2,0.00228882,0.0038147,0.0392151,0.0524902,0.0785828
30,3,-0.00339508,0.00366211,0.0521088,0.0531006,0.0904846
30,4,-0.00488281,0.0043869,0.0621796,0.0500488,0.108452
31,0,-0.0101852,0.00530243,0.0679779,0.0518036,0.104828
31,1,-0.0168228,0.00492096,0.0799942,0.055275,0.0828934
31,2,-0.0161362,0.00579834,0.087738,0.0580215,0.0437164
31,3,-0.0143814,0.00583649,0.0899124,0.0574112,0.0419235
31,4,-0.0135803,0.00614166,0.0948334,0.0526428,0.0317383
32,0,-0.0153732,0.00663757,0.0909805,0.0507355,0.0154495
32,1,-0.0143433,0.00217438,0.094223,0.0479507,0.012207
32,2,-0.0135803,0.00225067,0.0992203,0.0505447,0.0139618
32,3,-0.013237,-0.000114441,0.0954437,0.0528717,0.018692
32,4,-0.0149536,-0.000534058,0.0990295,0.0491714,0.0038147
